WhlCode,WhlDescription,NextEFMId,NextEFMFromDate,Debug,EFMPrefix
ACE,ACE Hardware,170,04/01/2026,N,ACE
CALIF,California Hardware,271,04/01/2026,N,CAL
COT,True Value,381,04/01/2026,N,COT
EMERY,Emery Waterhouse,374,04/01/2026,N,EWH
HHH,HOUSE HASSON HARDWARE,345,10/15/2025,N,HHH
EJD,EJD,345,10/15/2025,N,EJD
HWI,Do It Best,166,04/01/2026,N,HWI
JEN,Jensen Distribution,260,04/01/2026,N,JEN
ORGIL,Orgill,835,04/01/2026,N,ORG
TRV,True Value Special,101,04/01/2026,N,TRV
UNI,United HDWE (Hank/Trustworthy),605,10/15/2025,N,UNI
